wl,n,k,er,ei
236.9,1.3193103448275862,1.5346551724137931,-0.6145867122473245,4.04937288941736
237.9,1.32,1.5419636363636364,-0.6352518558677687,4.070784000000001
238.9,1.32,1.5494181818181818,-0.6582967021487602,4.090464
239.9,1.32,1.5568727272727272,-0.6814526889256196,4.110144
240.9,1.32,1.5643272727272726,-0.7047198161983463,4.129824
241.9,1.32,1.571781818181818,-0.7280980839669413,4.149503999999999
242.9,1.32046875,1.5795312499999998,-0.7512812499999992,4.1714433105468745
243.9,1.32203125,1.58796875,-0.773878125,4.198688623046875
244.9,1.3235937500000001,1.5964062499999998,-0.7966124999999991,4.225986669921875
245.9,1.32515625,1.60484375,-0.8194843749999996,4.253337451171875
246.9,1.3267187500000002,1.61328125,-0.8424937499999996,4.280740966796875
247.9,1.32828125,1.62171875,-0.8656406249999999,4.308197216796875
248.9,1.32984375,1.63015625,-0.8889250000000002,4.335706201171875
249.9,1.33,1.6394098360655738,-0.9187646105885514,4.360830163934427
250.9,1.33,1.648754098360656,-0.949490076861059,4.385685901639345
251.9,1.33,1.6580983606557378,-0.9803901736092449,4.410541639344263
252.9,1.33,1.66744262295082,-1.0114649008331102,4.435397377049181
253.9,1.33,1.6767868852459018,-1.042714258532653,4.460253114754099
254.9,1.33,1.686131147540984,-1.0741382467078753,4.4851088524590175
255.9,1.3324615384615386,1.6955076923076926,-1.0992925831952671,4.518397576331362
256.9,1.3355384615384616,1.7048923076923077,-1.1229947985798816,4.553898499408284
257.9,1.3386153846153845,1.714276923076923,-1.146854221065089,4.589514925443787
258.9,1.3416923076923077,1.7236615384615384,-1.170870850650887,4.6252468544378695
259.9,1.3447692307692307,1.7330461538461537,-1.1950446873372775,4.661094286390532
260.9,1.3478461538461537,1.742430769230769,-1.21937573112426,4.697057221301774
261.9,1.3512328767123287,1.7512191780821915,-1.2409383225745911,4.732609855507599
262.9,1.3553424657534245,1.7586164383561642,-1.2557785777819475,4.767055079752298
263.9,1.3594520547945204,1.766013698630137,-1.2706944944642522,4.801621902796021
264.9,1.3635616438356164,1.7734109589041096,-1.2856860726215051,4.836310324638769
265.9,1.3676712328767122,1.7808082191780823,-1.300753312253707,4.8711203452805405
266.9,1.371780821917808,1.7882054794520548,-1.315896213360856,4.906051964721335
267.9,1.375890410958904,1.7956027397260275,-1.331114775942954,4.941105182961156
