wl,n,k,er,ei
1518.0,0.5048847926267281,10.493078341013826,-109.84978441682773,10.595591364437556
1519.0,0.5054838709677419,10.500870967741935,-110.01277713735692,10.616041810613943
1520.0,0.5060829493087557,10.508663594470047,-110.17589059015907,10.636510930365903
1521.0,0.5066820276497697,10.516456221198156,-110.33912477523413,10.656998723693434
1522.0,0.5072811059907835,10.524248847926268,-110.50247969258214,10.677505190596532
1523.0,0.5078801843317973,10.532041474654378,-110.66595534220306,10.698030331075199
1524.0,0.5084792626728111,10.539834101382489,-110.82955172409693,10.718574145129436
1525.0,0.5090783410138249,10.5476267281106,-110.99326883826373,10.739136632759244
1526.0,0.5096774193548388,10.55541935483871,-111.15710668470345,10.759717793964622
1527.0,0.5102764976958526,10.563211981566822,-111.32106526341612,10.78031762874557
1528.0,0.5108755760368664,10.571004608294931,-111.48514457440167,10.800936137102084
1529.0,0.5114746543778802,10.578797235023043,-111.64934461766019,10.82157331903417
1530.0,0.512073732718894,10.586589861751152,-111.81366539319161,10.842229174541824
1531.0,0.5126728110599079,10.594382488479264,-111.97810690099601,10.862903703625053
1532.0,0.5132718894009217,10.602175115207373,-112.14266914107328,10.883596906283847
1533.0,0.5138709677419355,10.609967741935485,-112.30735211342353,10.904308782518212
1534.0,0.5144700460829493,10.617760368663594,-112.47215581804667,10.925039332328145
1535.0,0.5150691244239631,10.625552995391706,-112.63708025494279,10.94578855571365
1536.0,0.515668202764977,10.633345622119815,-112.80212542411178,10.966556452674723
1537.0,0.5162672811059908,10.641138248847927,-112.96729132555375,10.987343023211368
1538.0,0.5168663594470047,10.648930875576038,-113.13257795926864,11.00814826732358
1539.0,0.5174654377880185,10.656723502304148,-113.29798532525645,11.028972185011362
1540.0,0.5180645161290323,10.66451612903226,-113.4635134235172,11.049814776274715
1541.0,0.5186635944700462,10.672308755760369,-113.62916225405084,11.070676041113638
1542.0,0.51926267281106,10.68010138248848,-113.79493181685747,11.091555979528131
1543.0,0.5198617511520738,10.68789400921659,-113.96082211193698,11.11245459151819
1544.0,0.5204608294930876,10.695686635944702,-114.12683313928945,11.133371877083821
1545.0,0.5210599078341014,10.703479262672811,-114.29296489891483,11.154307836225021
1546.0,0.5216589861751153,10.711271889400923,-114.45921739081317,11.175262468941794
1547.0,0.5222580645161291,10.719064516129032,-114.62559061498439,11.196235775234133
1548.0,0.5228571428571429,10.726857142857144,-114.7920845714286,11.217227755102043
1549.0,0.5234562211981567,10.734649769585253,-114.95869926014568,11.23823840854552
1550.0,0.5240552995391705,10.742442396313365,-115.12543468113573,11.25926773556457
1551.0,0.5246543778801844,10.750235023041476,-115.29229083439873,11.280315736159192
1552.0,0.5252534562211982,10.758027649769586,-115.4592677199346,11.301382410329378
1553.0,0.525852534562212,10.765820276497696,-115.62636533774341,11.322467758075135
1554.0,0.5264516129032258,10.773612903225807,-115.79358368782519,11.343571779396463
1555.0,0.5270506912442396,10.781405529953918,-115.96092277017989,11.364694474293362
1556.0,0.5276497695852536,10.789198156682028,-116.12838258480751,11.385835842765829
1557.0,0.5282488479262674,10.79699078341014,-116.29596313170806,11.406995884813867
