lambd,r1,r2,eps_1,eps_2,eps_3,alpha,A_sca,A_abs,A_tot
2.616e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.236501+4.7223000000000015j),1.78,(1.9823364509922268e-34+7.463601040733976e-35j),1.010410959882159e-17,2.0246120400422985e-16,2.1256531360305144e-16
2.689e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.3464090000000009+4.97628j),1.78,(1.9786156013005173e-34+7.601717118441744e-35j),9.063019294702321e-18,2.006097516507973e-16,2.096727709454996e-16
2.7610000000000004e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.3665090000000002+5.28242j),1.78,(1.980942940920387e-34+7.775264364748301e-35j),8.219154001345084e-18,1.9983883807348274e-16,2.0805799207482782e-16
2.844e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.3322610000000004+5.49486j),1.78,(1.986184860800682e-34+7.894799499884745e-35j),7.36458835396313e-18,1.9698930644303747e-16,2.043538947970006e-16
2.924e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.3067840000000004+5.59644j),1.78,(1.989498640907951e-34+7.951118333038814e-35j),6.62297647665652e-18,1.9296652984010595e-16,1.9958950631676248e-16
3.009e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.2274209999999999+5.78034j),1.78,(1.9979479055415476e-34+8.046660824534714e-35j),5.96874515565131e-18,1.897687278613594e-16,1.957374730170107e-16
3.107e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.242549+5.79258j),1.78,(1.997285327602342e-34+8.057339377995113e-35j),5.2495242002234914e-18,1.8402699802947617e-16,1.8927652222969967e-16
3.204000000000001e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.2308040000000005+5.845840000000001j),1.78,(1.999155041979037e-34+8.087439279567239e-35j),4.654446367385206e-18,1.7912230278267077e-16,1.8377674915005599e-16
3.315e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.355289+5.57368j),1.78,(1.986160442635504e-34+7.946112914888705e-35j),3.9966451551477236e-18,1.7009922607610563e-16,1.7409587123125335e-16
3.425e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.310241+5.53816j),1.78,(1.988243029179539e-34+7.916817878761235e-35j),3.51019929883e-18,1.640292189085319e-16,1.675394182073619e-16
3.5420000000000004e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.2319559999999994+5.598j),1.78,(1.993996248036084e-34+7.938035647250078e-35j),3.0864857835064403e-18,1.5903606673996406e-16,1.621225525234705e-16
3.679e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.4006250000000002+5.6092j),1.78,(1.984021447978716e-34+7.975801773975211e-35j),2.6324073928828123e-18,1.5384227804516322e-16,1.5647468543804603e-16
3.815e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.6048890000000005+5.64436j),1.78,(1.971760880449284e-34+8.032885692464866e-35j),2.2570403000746554e-18,1.494198110887711e-16,1.5167685138884576e-16
3.974e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.649404+5.73888j),1.78,(1.970473657542121e-34+8.102022852149925e-35j),1.9195003714825525e-18,1.446760820839083e-16,1.4659558245539084e-16
4.1330000000000003e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.7021640000000011+5.71736j),1.78,(1.966619607863445e-34+8.096899046706936e-35j),1.6349487392737188e-18,1.3902229622304457e-16,1.406572449623183e-16
4.3050000000000005e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.6922040000000007+5.6492j),1.78,(1.9661551534395077e-34+8.050256358489544e-35j),1.3860333905997322e-18,1.3269901312981084e-16,1.3408504652041058e-16
4.509e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.758996000000001+5.28264j),1.78,(1.957038474606276e-34+7.820943673794615e-35j),1.133303824237203e-18,1.2308639754740973e-16,1.2421970137164694e-16
4.714e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-1.7027009999999996+4.84438j),1.78,(1.957810426261393e-34+7.547056273096775e-35j),9.40312108344091e-19,1.136106771372163e-16,1.1455098924556038e-16
4.959e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-2.278289000000001+3.812640000000001j),1.78,(1.9364706554241645e-34+6.827924262665e-35j),7.35288616386185e-19,9.77070104009383e-17,9.84422990173245e-17
5.209e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-3.946161+2.5804400000000003j),1.78,(1.8138984871361996e-34+4.8064865164298115e-35j),5.0442943960709925e-19,6.54793725484847e-17,6.598380198809181e-17
5.486e-07,1.5000000000000002e-08,1.7e-08,5.44200189409969,(-5.842125+2.1113j),1.78,(1.527552839324795e-34+3.6969021559973595e-35j),2.8761411552362585e-19,4.782040957599563e-17,4.8108023691519256e-17
